id,game_title,game_team_home,game_team_away,game_date,game_time,game_score,goals_for,goals_against,game_goals,game_assists,game_redcards,game_yellowcards,game_status,game_type,game_poll,game_season,game_ground
,Piliers Kernilis — Entente Kernilis,Piliers Kernilis,Entente Kernilis,2023-09-17,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Saint-Évarzec — Piliers Kernilis,Saint-Évarzec,Piliers Kernilis,2023-10-01,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — Olympique Club Bigouden,Piliers Kernilis,Olympique Club Bigouden,2023-10-15,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Ergué-Armel — FC Piliers Kernilis,Ergué-Armel FC,Piliers Kernilis,2023-11-05,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — AS Cap Horn,Piliers Kernilis,AS Cap Horn,2023-11-19,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — FC Beegood United,Piliers Kernilis,FC Beegood United,2023-11-26,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Les Glénan — Piliers Kernilis,Les Glénan,Piliers Kernilis,2023-12-10,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Loups de Plonéour — Piliers Kernilis,Loups de Plonéour,Piliers Kernilis,2023-12-17,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,RC Kemper — Piliers Kernilis,RC Kemper,Piliers Kernilis,2024-01-07,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Entente Kernilis — Piliers Kernilis,Entente Kernilis,Piliers Kernilis,2024-01-14,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — Saint-Évarzec,Piliers Kernilis,Saint-Évarzec,2024-01-21,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Olympique Club Bigouden — Piliers Kernilis,Olympique Club Bigouden,Piliers Kernilis,2024-01-28,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — Ergué-Armel FC,Piliers Kernilis,Ergué-Armel FC,2024-02-04,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,AS Cap Horn — Piliers Kernilis,AS Cap Horn,Piliers Kernilis,2024-02-11,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,FC Beegood United — Piliers Kernilis,FC Beegood United,Piliers Kernilis,2024-03-10,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — Les Glénan,Piliers Kernilis,Les Glénan,2024-03-17,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — Loups de Plonéour,Piliers Kernilis,Loups de Plonéour,2024-04-07,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
,Piliers Kernilis — RC Kemper,Piliers Kernilis,RC Kemper,2024-04-14,10:00:00,0-0,0,0,,,,,planned,championnat,,2023-2024,2
